Rainfall
0.48
0.23
0.40
0.50
0.36
0.51
0.35
0.33
0.89
0.68
0.51
0.37
0.39
0.50
0.38
0.48
0.54
0.35
0.25
0.38
0.12
0.71
0.44
0.26
0.37
0.37
0.34
0.27
0.31
0.15
0.36
0.79
0.31
0.46
0.26
0.42
0.34
0.44
0.44
0.19
0.32
0.33
0.32
0.61
0.28
0.33
0.61
0.33
0.35
0.31
0.37
0.36
0.38
0.41
0.17
0.67
0.76
0.71
0.72
0.65
0.74
0.47
0.20
0.37
0.30
0.09
0.08
0.92
0.29
0.40
0.27
0.10
0.63
0.47
0.24
0.40
0.66
0.50
0.21
0.63
0.37
0.68
0.36
0.15
0.31
0.44
0.56
0.33
0.34
0.19
0.26
0.47
0.66
0.11
0.43
0.50
0.55
0.27
0.29
0.26
0.23
0.36
0.20
0.76
0.59
0.85
0.64
0.24
0.44
0.31
0.37
0.44
0.32
0.24
0.35
0.24
0.51
1.00
0.57
0.26
0.47
0.46
0.38
0.29
0.42
0.26
0.44
0.48
0.47
0.36
0.24
0.43
0.21
0.22
0.45
0.44
0.33
0.30
0.49
0.69
0.39
0.57
0.71
0.44
0.56
0.32
0.38
0.49
0.44
0.43
0.51
0.66
0.42
0.52
0.59
0.28
0.63
0.38
0.34
0.35
0.25
0.38
0.37
0.76
0.73
0.62
0.59
0.46
0.32
0.18
0.37
0.33
0.33
0.16
0.45
0.37
0.25
0.34
0.79
0.38
0.45
0.16
0.67
0.43
0.29
0.37
0.33
0.39
0.87
0.78
0.54
0.54
0.77
0.40
0.37
0.45
0.37
0.04
0.45
0.50
0.22
0.80
0.41
0.43
0.64
0.31
0.53
0.32
0.26
0.40
0.29
0.51
0.52
0.82
0.23
0.19
0.39
0.28
0.71
0.54
0.43
0.49
0.06
0.75
0.45
0.61
0.60
0.31
0.29
0.53
0.37
0.34
0.25
0.31
0.36
0.86
0.51
0.78
0.60
0.30
0.38
0.36
0.53
0.30
0.44
0.34
0.18
0.53
0.28
0.96
0.56
0.53
0.41
0.22
0.56
0.42
0.28
0.14
0.28
0.62
0.40
0.66
0.51
0.43
0.21
0.55
0.26
0.44
0.40
0.43
0.31
0.83
0.62
0.39
0.55
0.24
0.27
0.37
0.50
0.70
0.45
0.38
0.20
0.54
0.54
0.74
0.25
0.29
0.16
0.30
0.35
0.55
0.32
0.48
0.39
0.54
0.48
0.14
0.13
0.17
0.32
0.13
0.28
0.69
0.26
0.67
0.39
0.57
0.31
0.53
0.58
0.42
0.50
0.23
0.35
0.12
0.37
0.30
0.18
0.40
0.43
0.52
0.27
0.24
0.33
0.42
0.41
0.39
0.50
0.60
0.28
0.51
0.19
0.61
0.84
0.21
0.74
0.30
0.21
0.28
0.28
0.39
0.55
0.62
0.72
0.48
0.45
0.37
0.38
0.33
0.25
0.36
0.52
0.39
0.11
0.54
0.47
0.51
0.63
0.12
0.48
0.22
0.40
0.63
0.38
0.17
0.72
0.19
0.22
0.84
0.51
0.26
0.45
0.51
0.17
0.21
0.70
0.10
0.45
0.78
0.58
0.75
0.55
0.23
0.44
0.43
0.28
0.61
0.26
0.28
0.37
0.40
0.21
0.46
